,acc,f1s0,f1s1,loss,val_acc
0,0.8279916644096375,0.004792332268370607,0.9094645930810484,0.9213207081290966,0.8340282440185547
1,0.8295249938964844,0.0025577170227151906,0.9093711092082121,0.7868958693035273,0.8338398933410645
2,0.8302205204963684,0.014865317841983286,0.909186998543771,0.9660975764308694,0.833750307559967
3,0.8277496099472046,0.0,0.9091362481297312,34.56543225241573,0.8334094882011414
4,0.8295711278915405,0.0,0.9090802297141686,17.53795934779458,0.8333154916763306
5,0.8301782011985779,0.0,0.9090615569089809,11.862021484279602,0.8332841396331787
6,0.8294212222099304,0.0,0.909264285190347,0.45151673524108754,0.8336247205734253
7,0.8303781747817993,0.0,0.9092642851903469,0.45170007691779385,0.8336247205734253
8,0.8306971192359924,0.0,0.9092642851903466,0.4516829591071597,0.8336247801780701
9,0.8304012417793274,0.0019256658796238761,0.9092322864945478,0.4423548979352766,0.8335978388786316
10,0.8303378224372864,0.0016074756157814386,0.9092589647308259,0.44431169393303904,0.8336381912231445
11,0.8306702375411987,0.001071650410520959,0.9092607382173327,0.44602332594108224,0.8336337208747864
12,0.8306201696395874,0.0,0.909264285190347,0.44923192211743074,0.8336247205734253
13,0.8309776186943054,0.0,0.9092642851903469,0.4400410662822942,0.8336247205734253
14,0.8309507369995117,0.0,0.9092589509976883,0.4357284244307754,0.8336158394813538
15,0.8313349485397339,0.0,0.909264285190347,0.45020494061023014,0.8336247205734253
16,0.8313349485397339,0.0,0.9092642851903469,0.45016728419742896,0.8336247205734253
17,0.8313350081443787,0.0,0.9092642851903466,0.45016553584862873,0.8336247801780701
18,0.9395203590393066,0.8357537524125342,0.9660681746097574,0.14673615008061497,0.9437793493270874
19,0.9420452117919922,0.8280903400807442,0.9660517944708256,0.14684396021371232,0.9433490037918091
20,0.9431596398353577,0.8255101027562098,0.9662611278393136,0.14956670791049345,0.9435014128684998
21,0.9350818395614624,0.8319541856863646,0.9661754751451405,0.14185961715441145,0.9437255859375
22,0.9393590688705444,0.8336335511831686,0.966100036007038,0.14185686469724418,0.9437122344970703
23,0.9414533972740173,0.8341029152322648,0.966601177421861,0.14316741628232052,0.9444250464439392
24,0.9297325015068054,0.8131938034984479,0.966518001478099,0.14785666212529727,0.9432414174079895
25,0.9366381764411926,0.8256107140842683,0.9672781543316133,0.14195480242111017,0.9449360966682434
26,0.9395280480384827,0.8297308921441415,0.9671280776810884,0.14254414837267118,0.9449450969696045
27,0.8306317329406738,0.03176468206305268,0.9100176502505125,0.39645433320482865,0.8353463411331177
28,0.8404542207717896,0.17431068878445682,0.9080006959310299,0.4177582557109593,0.8384801745414734
29,0.8508569598197937,0.24840802986252328,0.9155832549040218,0.3646515400480246,0.8510110378265381
30,0.8298593759536743,0.0,0.909264285190347,0.4655750876957727,0.8336247205734253
31,0.8305972218513489,0.0,0.9092642851903469,0.4578785987952931,0.8336247205734253
32,0.8308431506156921,0.0,0.9092642851903466,0.45528101860955805,0.8336247801780701
33,0.8313349485397339,0.0,0.909264285190347,0.46465747404515384,0.8336247205734253
34,0.8313349485397339,0.0,0.9092642851903469,0.4574149985420039,0.8336247205734253
35,0.8313350081443787,0.0,0.9092642851903466,0.454983809530882,0.8336247801780701
36,0.9354507327079773,0.8344229317001863,0.9683885455670843,0.1340088835465844,0.9469267129898071
37,0.9413130879402161,0.8376672413902366,0.9686448429615548,0.13492258179684813,0.9474512338638306
38,0.9447813034057617,0.8352224817404665,0.9682804025818302,0.13740336663404726,0.9468101263046265
39,0.9316117167472839,0.8359361951894915,0.9677574341510619,0.13591703000330013,0.9461196660995483
40,0.9388286471366882,0.8378142507543318,0.9680885018461233,0.1358351542475986,0.9466846585273743
41,0.9421181082725525,0.8379891472663278,0.9682763541913817,0.13632947405847406,0.9469536542892456
42,0.9253976941108704,0.8354797870519235,0.9680462752459201,0.13461163938646759,0.946496307849884
43,0.9353469610214233,0.8353128619309743,0.9678828055300871,0.1362940269892518,0.9462677240371704
44,0.9392282962799072,0.8351190131541713,0.9672248425407296,0.14113728555728974,0.9453486204147339
45,0.8298131823539734,0.0012908432919367858,0.9093016467166084,0.4459334711541084,0.8337054252624512
46,0.8305048942565918,0.0032232091849519993,0.9093496977040264,0.4371792430815956,0.8338130116462708
47,0.8307508826255798,0.004295880734144059,0.9093835084781566,0.4311113965522011,0.8338847756385803
48,0.7924832701683044,0.0,0.909264285190347,0.6090594001159463,0.8336247205734253
49,0.8119090795516968,0.0,0.9092642851903469,0.565534214816722,0.8336247205734253
50,0.8183844089508057,0.0,0.9092642851903466,0.5384886208817287,0.8336247801780701
51,0.8288679122924805,0.0,0.909264285190347,0.6042740372899562,0.8336247205734253
52,0.830101490020752,0.0,0.9092642851903469,0.5634027349604163,0.8336247205734253
53,0.8305127024650574,0.0,0.9092642851903466,0.53767739821111,0.8336247801780701
