,acc,f1s0,f1s1,loss,val_acc
0,0.9381599426269531,0.9173858335247722,0.017868842868842872,0.46746521367340915,0.8476003408432007
1,0.9586955904960632,0.9532374375258025,0.5922088355586209,0.26525659560527537,0.9167823791503906
2,0.974029541015625,0.971060968933922,0.724891169807831,0.17884745073757466,0.9481738209724426
3,0.9771997332572937,0.9732496570794869,0.7520319550955978,0.14165128621405848,0.9521883726119995
4,0.9839156866073608,0.9870581451603349,0.9250718729154676,0.07722931804237766,0.9779354333877563
5,0.9850802421569824,0.9813982284679827,0.8823265781863678,0.10648013150233437,0.9679142832756042
6,0.9834238886833191,0.9862478257438501,0.9189346615298535,0.09036564886035302,0.9764865636825562
7,0.983812153339386,0.9796487124127184,0.8682455983498955,0.12668959291189696,0.9647752046585083
8,0.9808877110481262,0.9791712715001092,0.8256920006980814,0.12174812794215761,0.9632357358932495
9,0.9665244221687317,0.9649331182910581,0.7671597464835805,0.18413094523906207,0.9390581846237183
10,0.9765657186508179,0.9751314131293214,0.7722753642767863,0.12125950471159755,0.9555689692497253
11,0.9766433835029602,0.9754030567729497,0.7845563990498634,0.13083735334068772,0.9562631845474243
12,0.9853777885437012,0.9820788676949614,0.8881502809904681,0.10338986541338238,0.9691216349601746
13,0.9841485023498535,0.9830188304020062,0.8975831542834352,0.11049625467235791,0.9708722829818726
14,0.9803183674812317,0.9788142196076208,0.8230031014246713,0.12210755365243738,0.9626018404960632
15,0.98515784740448,0.9833689515036028,0.8982230095670103,0.11161727450048417,0.9714156985282898
16,0.935973048210144,0.9171721109313598,0.0034482758620689655,0.4712443733202738,0.847057044506073
17,0.962176501750946,0.959090886786987,0.6761552811264863,0.2126462636390122,0.9277693629264832
18,0.9619694948196411,0.9586059653534333,0.5509016172040774,0.23361012573836618,0.9246603846549988
19,0.9625129699707031,0.9569685970990349,0.5394330933219236,0.24045024158063694,0.9217928647994995
20,0.9853907823562622,0.982433488417126,0.8806442277852959,0.09211608510775901,0.9695140719413757
21,0.9820005297660828,0.9775654090792679,0.81545433674347,0.11018600925497338,0.9604588747024536
22,0.9803312420845032,0.9825266448761052,0.8888690439139134,0.10995751326915508,0.9698460698127747
23,0.9794901609420776,0.9749266519992243,0.7926424299339998,0.1293380932755928,0.9556897282600403
24,0.9801112413406372,0.9803145534809486,0.8333441860832032,0.12056525366123874,0.9652279019355774
25,0.9538172483444214,0.9480592500185138,0.4831448757304651,0.2686746483136259,0.9063084721565247
26,0.9704710245132446,0.965238807258539,0.6414168115803175,0.17588483981637484,0.9371265172958374
27,0.9616459608078003,0.955626239712136,0.5308224541423695,0.24993167016851986,0.9194687604904175
28,0.982052206993103,0.9839129955223083,0.9052482840380367,0.09007293112663714,0.9725023508071899
29,0.9799171686172485,0.9781390546879527,0.8571161514182728,0.11976980312561254,0.962118923664093
30,0.9793866276741028,0.9780388537623343,0.817506771227763,0.12650655509435696,0.9612435102462769
31,0.9812629818916321,0.9807275799908558,0.8795739582246114,0.11825496768424275,0.9667974710464478
