,acc,val_acc,loss,f1s0,f1s1
0,0.8904410243034363,0.8636970967054367,0.35252357125282285,0.8966414270282359,0.7996834571207125
1,0.7919620603322983,0.7828385680913925,0.47625152468681337,0.8435034638479729,0.6444763547613895
2,0.8757125824689865,0.8677750915288925,0.32138980478048323,0.9013315778660187,0.799486212347787
3,0.8707167327404022,0.8661457061767578,0.325014628469944,0.9003071469782824,0.7962026721906964
4,0.9054842889308929,0.8593288987874985,0.427566359937191,0.8929717170657904,0.7944814650793685
5,0.890864697098732,0.8599032670259475,0.3716956406831741,0.8941835308247408,0.7922561151871395
6,0.8880920946598053,0.8644981801509857,0.35244943052530286,0.8976618148859696,0.7991693744863445
7,0.8821413725614548,0.8661305904388428,0.32769024670124053,0.8993006477011521,0.7999479435173469
8,0.8838619381189347,0.8667684346437454,0.33296285271644593,0.8995674086183272,0.8018176377619792
9,0.7948175817728043,0.7811578005552292,0.48049288243055344,0.8427993992299282,0.6388626863777588
10,0.8760688692331314,0.8678325295448304,0.32100789695978166,0.9017542691543836,0.7979972870125833
11,0.8704070746898651,0.8662817448377609,0.3243033617734909,0.9010853094791298,0.7935879962716369
12,0.9063653141260147,0.8593772649765015,0.42372268438339233,0.8928624495468697,0.7948642137538081
13,0.8950002580881119,0.8615235775709152,0.3869306564331055,0.8951643091455654,0.7956546958904822
14,0.8857548177242279,0.865958285331726,0.341551361978054,0.8992138991119842,0.7995890407129664
15,0.8826077967882157,0.8681801706552505,0.32948583364486694,0.9015978460154714,0.8001768050706287
16,0.8827062547206879,0.8683010935783386,0.3264979675412178,0.9013306992519963,0.8018604680235557
17,0.7889899492263794,0.783869406580925,0.47150138914585116,0.8451260807801162,0.6415998476999949
18,0.8741151005029678,0.8685036212205887,0.31938992291688917,0.9023306635079384,0.7987667341750024
19,0.8680568516254425,0.8659310787916183,0.32208615094423293,0.900643436695538,0.7937725036016189
20,0.8963930279016494,0.8621977061033249,0.3747051596641541,0.8952904613879594,0.7980624825036362
21,0.8815402090549469,0.8647581607103347,0.3379488423466682,0.8985778798800368,0.7967813833055639
22,0.8810154974460602,0.8681136697530747,0.32631119787693025,0.9013926318168293,0.800636818426557
23,0.8774292647838593,0.8702055603265763,0.31798128634691236,0.9031115201533094,0.8031944021530822
24,0.8835160136222839,0.8667170435190201,0.3302092492580414,0.899742166303319,0.8009719574562612
25,0.7884263575077057,0.7840689241886138,0.4718184471130371,0.8448842540577273,0.6441421241013403
26,0.8748004704713821,0.8681862145662308,0.3207248345017433,0.9020087715879613,0.7985953933279861
27,0.8687759160995483,0.8665719479322433,0.32267197519540786,0.9012837243607652,0.7941265026277862
28,0.8968762934207917,0.8636336207389832,0.3749008595943451,0.8967142118310477,0.798944210940981
29,0.8821854293346405,0.8637001246213913,0.34105453044176104,0.8970262592977981,0.7982167681613576
30,0.8816632986068725,0.866677749156952,0.32860585302114487,0.8998847858982169,0.7999991163436994
31,0.8785046160221099,0.8692261189222336,0.3217177614569664,0.9019293913709456,0.8034890074548571
