,acc,f1s0,f1s1,loss,val_acc
0,0.9876682162284851,0.9859965002727836,0.9168869419428219,0.0848127071899578,0.9760338068008423
1,0.9860507249832153,0.9812720144594456,0.8798774859181686,0.1084671615568682,0.9676426649093628
2,0.9845108985900879,0.9798635862962811,0.8739348609265326,0.1252795169565945,0.9652882814407349
3,0.9876552820205688,0.9836820323944699,0.9001327075202902,0.08387984573726823,0.9719589948654175
4,0.984717845916748,0.9832158276866136,0.897805070764474,0.09162134166390785,0.9711742401123047
5,0.9689828753471375,0.9664125132693027,0.6802272532111028,0.18043241794662623,0.9397222399711609
6,0.9832686185836792,0.9839129101768753,0.9014236565587751,0.08902871946723687,0.9723513722419739
7,0.9845497012138367,0.9815898620261448,0.8837365806112285,0.10326272852496243,0.9682462811470032
8,0.9638457298278809,0.9561646494872005,0.571708272832868,0.2611255591708538,0.9210684895515442
9,0.985649585723877,0.9850079967265861,0.9110819546384905,0.08616766421612383,0.974343478679657
10,0.9751940965652466,0.9718645644570543,0.7586756320935998,0.139314352264203,0.9500150680541992
11,0.9822463989257812,0.9778284487142986,0.834508962755913,0.10642394307058586,0.9611530303955078
12,0.9853649139404297,0.9830719681925526,0.89705009663061,0.08744771225046769,0.97093266248703
13,0.9748964309692383,0.9680161951216281,0.7037838916881847,0.1718822489568144,0.9428312182426453
14,0.9837733507156372,0.982026982451582,0.8872231608286117,0.10000063648889161,0.9690311551094055
15,0.9855202436447144,0.984042484943126,0.9006313179991483,0.0922266209501105,0.9725324511528015
16,0.9829063415527344,0.9803055656013899,0.8773613955395639,0.10659769532308538,0.9660731554031372
17,0.9800983667373657,0.9760761799240301,0.8328712556858674,0.1272577273935811,0.9583761096000671
18,0.9835662841796875,0.982813605418488,0.895912514787064,0.08978618311066346,0.9705101251602173
19,0.9823110699653625,0.9812412871631064,0.8813610226153055,0.10166953160623445,0.9676426649093628
20,0.9817675352096558,0.9802975046058284,0.8777331203023587,0.10585090049171138,0.9660730361938477
21,0.9807969927787781,0.9819959592575346,0.8871075263354001,0.09782603409258243,0.968970775604248
22,0.9777432680130005,0.9746897844427881,0.7953275044182049,0.12411622088284444,0.9554179906845093
23,0.9754787683486938,0.9739154978391941,0.7898817961707835,0.13424025275591292,0.9540597796440125
