Accuracy,F1 score (0),F1 score (1)
0.9577673167451244,0.8756927949326999,0.9745625405055087
0.954808338937458,0.8672985781990521,0.9727670611120117
0.9574983187626093,0.8742038216560509,0.974429519339699
0.952925353059852,0.8563218390804598,0.9718513752613801
0.9553463349024882,0.8577549271636675,0.9735162731333759
0.949831876260928,0.8573613766730401,0.969563443492452
0.9544048419636852,0.8604363935776039,0.97275138654449
0.9550773369199731,0.8612956810631229,0.9731985235114748
0.9537323470073974,0.8544839255499154,0.972493203262434
0.9553463349024882,0.8577549271636675,0.9735162731333759
0.9545393409549429,0.8613617719442166,0.9728120978120978
0.9549428379287155,0.8588284871470713,0.9731935664559495
0.9572293207800942,0.8676103247293921,0.9744947064485082
0.949831876260928,0.8430795119899033,0.9701432802369326
0.9560188298587761,0.8669108669108669,0.9736566502859905
